unknown,Fitch,My,Sankoff
0.0,92.45,90.05,60.8
0.05,91.39,88.13,92.31
0.1,90.27,86.1,90.99
0.15,89.16,84.16,89.75
0.2,87.97,82.14,88.37
0.25,86.72,80.19,87.06
0.3,85.56,78.22,85.67
0.35,84.15,76.21,84.12
0.4,82.69,74.14,82.48
0.45,81.23,72.17,80.89
0.5,79.65,70.17,79.32
0.55,78.03,68.14,77.6
0.6,76.3,66.15,75.89
0.65,74.55,64.18,74.05
0.7,72.34,62.08,71.96
0.75,70.24,60.09,69.98
0.8,67.83,58.09,67.72
0.85,65.14,56.07,65.23
0.9,62.01,54.05,62.7
0.95,58.09,52.02,59.92
0.9,58.88,53.7,57.38
0.9,61.23,54.07,59.6
