unknown,Fitch,My,Sankoff
0.94233,59.48,51.32,61.02
0.88466,62.12,52.62,62.43
0.82699,63.89,53.92,63.16
0.76932,65.57,55.23,64.17
0.71165,66.89,56.49,64.91
0.65398,68.36,57.81,66.06
0.5963099999999999,69.62,59.14,66.99
0.53864,70.77,60.41,67.86
0.48096999999999995,71.73,61.7,68.65
0.42329999999999995,72.99,63.03,69.8
0.36563,73.77,64.25,70.34
0.30795999999999996,74.84,65.58,71.39
0.25029,75.54,66.86,71.99
0.1926199999999999,76.49,68.15,72.95
0.1349499999999999,77.48,69.55,74.01
0.07728000000000002,78.18,70.8,74.62
0.019610000000000016,78.94,72.09,75.48
