unknown,parasites,freeliving,Fitch,My,Sankoff

0.94233,0.018988695652173912,0.03868130434782609,59.48,51.32,61.02
0.88466,0.037977391304347824,0.07736260869565217,62.12,52.62,62.43
0.82699,0.05696608695652174,0.11604391304347826,63.89,53.92,63.16
0.76932,0.07595478260869565,0.15472521739130435,65.57,55.23,64.17
0.71165,0.09494347826086957,0.19340652173913045,66.89,56.49,64.91
0.65398,0.11393217391304349,0.23208782608695652,68.36,57.81,66.06
0.5963099999999999,0.1329208695652174,0.2707691304347826,69.62,59.14,66.99
0.53864,0.1519095652173913,0.3094504347826087,70.77,60.41,67.86
0.48096999999999995,0.17089826086956522,0.34813173913043477,71.73,61.7,68.65
0.42329999999999995,0.18988695652173915,0.3868130434782609,72.99,63.03,69.8
0.36563,0.20887565217391305,0.42549434782608697,73.77,64.25,70.34
0.30795999999999996,0.22786434782608697,0.46417565217391304,74.84,65.58,71.39
0.25029,0.24685304347826087,0.5028569565217391,75.54,66.86,71.99
0.1926199999999999,0.2658417391304348,0.5415382608695652,76.49,68.15,72.95
0.1349499999999999,0.2848304347826087,0.5802195652173914,77.48,69.55,74.01
0.07728000000000002,0.3038191304347826,0.6189008695652174,78.18,70.8,74.62
0.019610000000000016,0.3228078260869565,0.6575821739130435,78.94,72.09,75.48
-0.03805999999999998,0.34179652173913044,0.6962634782608695,79.63,73.34,76.15
-0.09573000000000009,0.36078521739130437,0.7349447826086957,80.43,74.66,77.03
-0.1534000000000001,0.3797739130434783,0.7736260869565218,81.11,75.92,77.73
0.94233,0.018988695652173912,0.03868130434782609,55.71,51.26,53.57
0.94233,0.018988695652173912,0.03868130434782609,58.67,51.93,57.62
0.9,0.4,0.6,91.89,86.39,92.28
0.9,0.4,0.6,91.34,85.38,91.68
0.9,0.4,0.6,92.56,86.59,92.49
